airs,ST_CODE,AQCR,date,CO1hr0,CO1hr1,CO1hr2,CO1hr3,CO1hr4,CO1hr5,CO1hr6,CO1hr7,CO1hr8,CO1hr9,CO1hr10,CO1hr11,CO1hr12,CO1hr13,CO1hr14,CO1hr15,CO1hr16,CO1hr17,CO1hr18,CO1hr19,CO1hr20,CO1hr21,CO1hr22,CO1hr23,COunit,COmetxt,COmeth,CO1hrvh,CO1hrvd,CO1hrpk,CO1hrav,co8hr0,co8hr1,co8hr2,co8hr3,co8hr4,co8hr5,co8hr6,co8hr7,co8hr8,co8hr9,co8hr10,co8hr11,co8hr12,co8hr13,co8hr14,co8hr15,co8hr16,co8hr17,co8hr18,co8hr19,co8hr20,co8hr21,co8hr22,co8hr23,co8hrpk,co8hrvh,co8hrvd
480290046,48,217,01/01/2004,600,600,400,400,300,300,300,300,300,300,300,300,300,400,300,400,400,500,700,500,400,300,300,300,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,700,383.33333333,400.0,362.5,325.0,312.5,300.0,300.0,312.5,312.5,325.0,337.5,362.5,412.5,437.5,450.0,437.5,437.5,425.0,412.5,387.5,337.5,300.0,287.5,287.5,287.5,450.0,24,1
480290046,48,217,01/02/2004,300,300,300,200,300,300,300,500,500,500,500,400,500,400,400,500,600,800,1000,1000,600,400,400,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1000,475,312.5,337.5,362.5,387.5,412.5,437.5,450.0,462.5,462.5,475.0,512.5,575.0,650.0,662.5,662.5,662.5,650.0,625.0,575.0,487.5,400.0,362.5,350.0,337.5,662.5,24,1
480290046,48,217,01/03/2004,400,400,300,300,300,300,300,300,400,400,400,400,300,400,400,400,400,400,400,400,300,300,400,300,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,400,358.33333333,325.0,325.0,325.0,337.5,350.0,350.0,362.5,375.0,387.5,387.5,387.5,387.5,387.5,387.5,375.0,375.0,362.5,362.5,350.0,350.0,337.5,337.5,337.5,325.0,387.5,24,1
480290046,48,217,01/04/2004,400,300,400,300,300,300,300,300,300,300,400,400,,,400,400,500,300,300,200,200,200,200,200,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,22,1,500,313.63636364,325.0,312.5,312.5,312.5,325.0,328.6,333.3,350.0,366.7,400.0,400.0,383.3,350.0,328.6,312.5,287.5,262.5,225.0,212.5,200.0,212.5,225.0,237.5,250.0,400.0,24,1
480290046,48,217,01/05/2004,200,200,200,300,300,300,300,400,400,400,400,300,400,400,400,400,400,500,400,300,300,300,300,300,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,500,337.5,275.0,300.0,325.0,350.0,350.0,362.5,375.0,387.5,387.5,387.5,400.0,400.0,400.0,387.5,375.0,362.5,350.0,337.5,312.5,300.0,300.0,300.0,300.0,312.5,400.0,24,1
480290046,48,217,01/06/2004,300,300,300,300,300,300,400,500,400,400,500,400,400,400,400,500,400,600,400,400,400,400,400,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,600,395.83333333,337.5,350.0,362.5,387.5,400.0,412.5,425.0,425.0,425.0,425.0,450.0,437.5,437.5,437.5,437.5,437.5,425.0,425.0,400.0,400.0,400.0,400.0,400.0,412.5,450.0,24,1
480290046,48,217,01/07/2004,400,400,400,400,400,400,500,600,700,500,500,600,500,500,500,500,600,500,500,400,400,400,400,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,700,475,437.5,475.0,487.5,500.0,525.0,537.5,550.0,550.0,537.5,525.0,525.0,525.0,500.0,487.5,475.0,462.5,450.0,425.0,425.0,425.0,437.5,462.5,462.5,487.5,550.0,24,1
480290046,48,217,01/08/2004,400,500,500,500,600,400,600,1000,1200,1000,1000,800,700,500,600,500,700,700,600,600,600,700,700,1100,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1200,687.5,562.5,662.5,725.0,787.5,825.0,837.5,850.0,850.0,787.5,725.0,687.5,637.5,612.5,600.0,625.0,637.5,712.5,712.5,675.0,637.5,600.0,575.0,537.5,500.0,850.0,24,1
480290046,48,217,01/09/2004,700,400,300,300,400,400,400,600,500,400,400,400,300,300,300,400,500,600,700,700,600,700,600,600,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,700,479.16666667,437.5,412.5,412.5,425.0,437.5,425.0,412.5,400.0,375.0,375.0,400.0,437.5,475.0,512.5,562.5,600.0,625.0,625.0,625.0,612.5,575.0,550.0,512.5,487.5,625.0,24,1
480290046,48,217,01/10/2004,500,600,600,400,400,400,400,500,500,500,500,400,400,500,500,500,500,500,700,900,1000,900,900,1200,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1200,591.66666667,475.0,475.0,462.5,450.0,450.0,450.0,462.5,475.0,475.0,475.0,475.0,500.0,562.5,637.5,687.5,737.5,825.0,850.0,862.5,862.5,850.0,812.5,825.0,850.0,862.5,24,1
480290046,48,217,01/11/2004,700,600,700,800,700,1000,1100,1300,1200,1100,600,400,,300,300,300,300,400,600,400,300,300,300,300,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,23,1,1300,608.69565217,862.5,925.0,987.5,975.0,925.0,957.1,857.1,742.9,600.0,471.4,371.4,371.4,371.4,362.5,362.5,362.5,362.5,362.5,350.0,312.5,325.0,337.5,362.5,437.5,987.5,24,1
480290046,48,217,01/12/2004,300,300,300,500,400,500,900,900,1000,900,700,600,500,400,400,400,500,700,900,900,1100,800,600,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1100,620.83333333,512.5,600.0,675.0,725.0,737.5,750.0,737.5,675.0,612.5,550.0,525.0,550.0,587.5,662.5,712.5,737.5,737.5,725.0,675.0,600.0,537.5,462.5,425.0,437.5,750.0,24,1
480290046,48,217,01/13/2004,400,300,300,400,500,500,700,1000,1000,800,600,600,600,600,600,600,600,600,900,600,500,500,500,500,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1000,591.66666667,512.5,587.5,650.0,687.5,712.5,725.0,737.5,725.0,675.0,625.0,600.0,637.5,637.5,625.0,612.5,600.0,587.5,575.0,550.0,487.5,462.5,450.0,450.0,475.0,737.5,24,1
480290046,48,217,01/14/2004,500,400,400,400,400,500,700,900,1200,900,800,700,700,700,900,600,900,1000,700,600,500,500,500,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1200,658.33333333,525.0,612.5,675.0,725.0,762.5,800.0,825.0,850.0,812.5,775.0,787.5,775.0,762.5,737.5,712.5,662.5,637.5,562.5,475.0,425.0,387.5,362.5,337.5,325.0,850.0,24,1
480290046,48,217,01/15/2004,300,300,300,300,300,300,400,600,800,600,600,600,600,600,700,600,600,900,600,500,500,500,400,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,900,512.5,350.0,412.5,450.0,487.5,525.0,562.5,600.0,637.5,637.5,612.5,650.0,650.0,637.5,625.0,612.5,575.0,550.0,525.0,450.0,412.5,387.5,375.0,362.5,362.5,650.0,24,1
480290046,48,217,01/16/2004,400,300,300,300,400,400,400,500,500,600,500,500,600,500,500,500,600,600,500,500,500,500,500,500,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,600,475,375.0,387.5,425.0,450.0,475.0,500.0,512.5,525.0,525.0,537.5,537.5,537.5,537.5,525.0,525.0,525.0,525.0,512.5,500.0,512.5,525.0,537.5,537.5,537.5,537.5,24,1
480290046,48,217,01/17/2004,500,500,600,600,600,500,500,700,600,500,400,400,400,300,300,400,400,400,400,400,400,300,300,300,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,700,445.83333333,562.5,575.0,575.0,550.0,525.0,500.0,475.0,450.0,412.5,387.5,375.0,375.0,375.0,375.0,375.0,375.0,362.5,350.0,337.5,325.0,312.5,300.0,300.0,312.5,575.0,24,1
480290046,48,217,01/18/2004,300,300,300,300,300,300,400,300,400,300,300,300,,300,300,300,300,300,300,300,300,300,300,300,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,23,1,400,308.69565217,312.5,325.0,325.0,325.0,325.0,328.6,328.6,314.3,314.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,287.5,275.0,275.0,275.0,328.6,24,1
480290046,48,217,01/19/2004,300,300,300,200,200,300,300,400,500,400,300,300,300,300,400,300,300,400,600,800,900,900,900,600,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,900,437.5,287.5,312.5,325.0,325.0,337.5,350.0,350.0,362.5,350.0,325.0,325.0,362.5,425.0,500.0,575.0,637.5,675.0,700.0,700.0,675.0,637.5,587.5,550.0,525.0,700.0,24,1
480290046,48,217,01/20/2004,500,400,400,500,500,600,700,900,1000,700,600,600,500,500,500,500,600,700,700,600,500,500,600,400,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1000,583.33333333,562.5,625.0,662.5,687.5,700.0,700.0,687.5,662.5,612.5,562.5,562.5,575.0,575.0,575.0,575.0,587.5,575.0,550.0,512.5,475.0,450.0,437.5,425.0,412.5,700.0,24,1
480290046,48,217,01/21/2004,400,400,400,400,400,400,500,600,600,600,500,600,500,600,500,600,600,700,600,500,500,500,600,500,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,700,520.83333333,437.5,462.5,487.5,500.0,525.0,537.5,562.5,562.5,562.5,562.5,575.0,587.5,575.0,575.0,562.5,575.0,562.5,550.0,525.0,512.5,512.5,512.5,512.5,512.5,587.5,24,1
480290046,48,217,01/22/2004,500,500,500,500,500,500,600,1000,900,800,600,700,600,600,700,700,700,800,700,800,800,800,900,800,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1000,687.5,575.0,625.0,662.5,675.0,700.0,712.5,725.0,737.5,700.0,675.0,675.0,687.5,700.0,725.0,750.0,775.0,787.5,787.5,775.0,762.5,737.5,700.0,662.5,650.0,787.5,24,1
480290046,48,217,01/23/2004,700,700,600,600,500,500,800,900,1100,800,700,600,600,700,700,800,1000,800,800,700,700,700,600,600,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,1100,716.66666667,662.5,712.5,725.0,737.5,737.5,750.0,775.0,762.5,750.0,737.5,737.5,750.0,762.5,775.0,775.0,762.5,737.5,687.5,650.0,625.0,600.0,575.0,550.0,550.0,775.0,24,1
480290046,48,217,01/24/2004,600,500,600,500,500,500,600,600,700,600,600,500,600,600,500,500,600,700,900,800,900,600,600,600,ppb,INSTRUMENTAL NON DISPERSIVE INFRA-RED,54,24,1,900,612.5,550.0,562.5,575.0,575.0,575.0,587.5,600.0,587.5,575.0,562.5,575.0,612.5,650.0,687.5,687.5,700.0,712.5,700.0,687.5,637.5,600.0,537.5,525.0,500.0,712.5,24,1
